"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","293","0 Osgood Street, Salem","4/1/2019 - 6/30/2019, Every day, Daily Average",2409,1862,3115
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","294","0 Chelsea Street, East Boston, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",363,162,809
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","295","100 Merrimack Street, Downtown, Lowell","4/1/2019 - 6/30/2019, Every day, Daily Average",2938,2272,3797
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","296","0 Cleverly Court, Quincy","4/1/2019 - 6/30/2019, Every day, Daily Average",2289,1628,3217
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","297","100 Arlington Street, Bay Village, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",814,530,1248
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","298","100 Whitford Street, Roslindale, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",2111,1605,2776
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","299","0 Round Hill Street, Jamaica Plain, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1470,1082,1996
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","301","0 John J Brady Drive, Framingham","4/1/2019 - 6/30/2019, Every day, Daily Average",2273,1714,3012
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","302","0 Leon Street, Fenway/Kenmore, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1135,804,1601
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","303","200 Old County Road, East Sandwich, Sandwich","4/1/2019 - 6/30/2019, Every day, Daily Average",5035,3984,6362
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","306","0 Massachusetts 114, Peabody","4/1/2019 - 6/30/2019, Every day, Daily Average",2193,1703,2823
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","309","0 Fernwood Drive, Westford","4/1/2019 - 6/30/2019, Every day, Daily Average",3046,2342,3960
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","310","0 Sharon Street, Malden","4/1/2019 - 6/30/2019, Every day, Daily Average",1391,1060,1824
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","311","800 Monument Street, Concord","4/1/2019 - 6/30/2019, Every day, Daily Average",2615,2003,3413
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","312","0 Loring Drive, Framingham","4/1/2019 - 6/30/2019, Every day, Daily Average",2445,1925,3104
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","313","0 Pond Plain Road, Westwood","4/1/2019 - 6/30/2019, Every day, Daily Average",2639,1977,3522
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","314","1000 Pleasant Street, East Weymouth, Weymouth","4/1/2019 - 6/30/2019, Every day, Daily Average",2555,1837,3552
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","316","Edgeworth, Charlestown, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1008,651,1558
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","317","100 Bowen Street, D Street / West Broadway, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1143,751,1737
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","318","0 Stella Road, Roslindale, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1975,1484,2627
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","320","0 Pleasant Street, North Brookline, Brookline","4/1/2019 - 6/30/2019, Every day, Daily Average",1355,1006,1823
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","323","Amvets Memorial Highway, Fall River","4/1/2019 - 6/30/2019, Every day, Daily Average",4348,3354,5636
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","324","0 Lambert Avenue, Lynn","4/1/2019 - 6/30/2019, Every day, Daily Average",1665,1265,2190
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","325","0 Ayer Street, Peabody","4/1/2019 - 6/30/2019, Every day, Daily Average",2188,1657,2888
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","327","0 Labelle Street, Marlborough","4/1/2019 - 6/30/2019, Every day, Daily Average",3198,2478,4126
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","328","0 Clinton Street, Everett","4/1/2019 - 6/30/2019, Every day, Daily Average",1252,920,1702
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","329","0 Tyler Street, Ward Two, Somerville","4/1/2019 - 6/30/2019, Every day, Daily Average",1384,1004,1907
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","330","100 Vassal Lane, West Cambridge, Cambridge","4/1/2019 - 6/30/2019, Every day, Daily Average",1586,1196,2102
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","331","0 Seaport Drive, Marina Bay, Quincy","4/1/2019 - 6/30/2019, Every day, Daily Average",1594,1053,2412
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","332","100 Wolf Pond Road, Kingston","4/1/2019 - 6/30/2019, Every day, Daily Average",3524,2647,4689
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","333","0 Huntington Avenue, Prudential / St. Botolph, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",915,593,1411
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","334","0 Westbourne Street, Roslindale, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",2327,1762,3073
